gene,environment,n_replicates,replicate_pre_effects,replicate_post_effects,mean_pre_effect,mean_post_effect,suppression_fraction,category,baseline_effect_size_pass,baseline_direction_concordant,post_direction_concordant,replicate_retention_eligible
AARSD1P1,plastic,2,-0.317752;-0.0222859,-0.261874;-0.576195,-0.17001891228425503,-0.41903467868980493,,insufficient,False,False,True,False
AASDH,hydrogel,2,-0.537029;-0.482369,0.349139;-0.969289,-0.509698655082925,-0.31007496193388473,0.3916504215938389,partially_retained,True,False,False,False
AASDH,plastic,2,-0.046553;0.392358,-0.224498;0.513119,0.17290225885006016,0.14431048603645458,,insufficient,False,False,False,False
AASDHPPT,hydrogel,2,-0.231469;-0.237438,-0.00604686;0.016537,-0.23445347869225053,0.005245058922000112,,insufficient,False,False,False,False
AASDHPPT,plastic,2,-0.187779;-0.119946,0.0178775;-0.0278011,-0.15386284703874953,-0.004961799632649644,,insufficient,False,False,False,False
AASS,hydrogel,2,-0.691372;-0.836367,-0.483166;-0.370051,-0.7638696145149506,-0.4266086345889999,0.44151642311379014,partially_retained,True,True,True,True
AASS,plastic,2,-0.236006;-0.5818,-0.503569;-0.193914,-0.40890315990354953,-0.3487415580009001,,insufficient,False,False,True,False
AATBC,hydrogel,2,-0.258151;-0.434051,0.0129401;-0.032672,-0.3461011294925749,-0.009865952818894907,,insufficient,False,False,False,False
AATBC,plastic,2,0.556842;-0.136789,-0.273689;0.11736,0.2100264534089149,-0.07816439883112003,,insufficient,False,False,False,False
AATF,hydrogel,2,0.222227;0.174375,0.165098;0.245845,0.1983009044489501,0.20547148785340053,,insufficient,False,False,True,False
AATF,plastic,2,0.0291911;0.0677652,-0.0435888;-0.0442074,0.04847814892279967,-0.043898116216600336,,insufficient,False,False,True,False
AATK,hydrogel,2,0.479151;1.02762,0.44902;-0.87923,0.753385046957395,-0.2151053723735954,1.2855185051021591,suppressed,True,False,False,False
AATK,plastic,2,0.829019;0.21623,-0.372379;0.706359,0.5226242039648805,0.16698979560569027,0.6804782588735372,partially_retained,True,False,False,False
ABALON,hydrogel,2,0.0230586;0.116091,0.440678;0.403606,0.06957504757470012,0.422142123893515,,insufficient,False,False,True,False
ABALON,plastic,2,0.239121;0.743714,0.170204;0.0587573,0.4914177561980302,0.11448055663360446,,insufficient,False,False,True,False
ABAT,hydrogel,2,0.0378786;0.340203,-0.0379602;-0.325387,0.18904086650399954,-0.1816734547300798,,insufficient,False,False,True,False
ABAT,plastic,2,0.386837;0.0105553,1.00806;0.577289,0.19869597612230994,0.7926736880140401,,insufficient,False,False,True,False
ABBA01000933.1,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABBA01000933.1,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABBA01000935.2,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABBA01000935.2,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABBA01006766.1,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABBA01006766.1,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABBA01045074.1,hydrogel,2,0.000252219;0.000414205,0.00629536;0.0010249,0.0003332121801700172,0.0036601303543901675,,insufficient,False,False,True,False
ABBA01045074.1,plastic,2,0.000695856;-0.000259634,8.36239e-05;0.000663273,0.0002181111466950103,0.0003734485880750871,,insufficient,False,False,True,False
ABBA01045074.2,hydrogel,2,0.000203322;0.000333903,-0.00407342;0.000826205,0.0002686124975002091,-0.0016236072922848344,,insufficient,False,False,False,False
ABBA01045074.2,plastic,2,0.000560951;-0.000209299,6.74118e-05;0.000534685,0.00017582604518495693,0.0003010482926402158,,insufficient,False,False,True,False
ABCA1,hydrogel,2,0.380895;0.560807,-0.191912;0.299157,0.47085060842729565,0.053622809024255425,,insufficient,False,False,False,False
ABCA1,plastic,2,0.963739;0.617231,-0.0565685;0.00543706,0.7904852763838957,-0.025565695011215084,1.0323417725478283,suppressed,True,True,False,True
ABCA10,hydrogel,2,-0.757954;-0.253115,0.342701;-0.102005,-0.5055345967884053,0.12034786645391504,1.2380605941086311,suppressed,True,False,False,False
ABCA10,plastic,2,-0.497913;-0.0296512,-0.440473;0.145251,-0.2637820744799799,-0.14761096618315506,,insufficient,False,False,False,False
ABCA11P,hydrogel,2,0.0105432;0.303402,0.507381;-0.295822,0.15697244689701018,0.10577926296522477,,insufficient,False,False,False,False
ABCA11P,plastic,2,-0.0234428;-0.181175,-0.224891;-0.105126,-0.10230894758930997,-0.16500847449840972,,insufficient,False,False,True,False
ABCA12,hydrogel,2,0.132808;0.260547,0.0108477;0.366761,0.19667752622221002,0.18880448156233498,,insufficient,False,False,True,False
ABCA12,plastic,2,-0.0355057;-0.174863,-0.114675;0.197262,-0.10518431132873995,0.04129321613075998,,insufficient,False,False,False,False
ABCA13,hydrogel,2,0.0510041;0.0952021,-0.12559;0.00562673,0.07310314691628006,-0.05998178312852498,,insufficient,False,False,False,False
ABCA13,plastic,2,-0.140242;0.0671685,0.040363;0.0565564,-0.03653671502667999,0.048459672118730035,,insufficient,False,False,True,False
ABCA17P,hydrogel,2,-0.622979;0.329511,0.30375;-0.566331,-0.14673432029426992,-0.1312902403481051,,insufficient,False,False,False,False
ABCA17P,plastic,2,0.0396671;1.12357,-0.423446;0.966346,0.5816186996053048,0.2714500286053252,0.5332852454889513,partially_retained,True,False,False,False
ABCA2,hydrogel,2,0.389145;0.426716,1.66137;0.623033,0.40793073398391,1.14220248374731,,insufficient,False,False,True,False
ABCA2,plastic,2,1.45991;0.0713368,0.758552;-0.871101,0.7656238918581648,-0.056274956233600015,1.0735020900366903,suppressed,True,False,False,False
ABCA3,hydrogel,2,0.303813;0.0550754,0.447242;-0.461393,0.17944415620076004,-0.007075657345669839,,insufficient,False,False,False,False
ABCA3,plastic,2,0.0487286;-0.0182269,-0.485298;-0.361386,0.015250863358760025,-0.423341818688705,,insufficient,False,False,True,False
ABCA4,hydrogel,2,1.06312;-0.00365134,0.0403798;1.35348,0.5297319969217602,0.6969321572091352,-0.3156316047717802,enhanced_or_reprogrammed,True,False,True,False
ABCA4,plastic,2,-0.463712;0.0299852,-0.26603;0.631535,-0.21686328052786008,0.18275285123007534,,insufficient,False,False,False,False
ABCA5,hydrogel,2,0.586512;0.740029,-0.0077123;-0.192915,0.6632702043359151,-0.10031360506196485,1.1512409337946994,suppressed,True,True,True,True
ABCA5,plastic,2,0.33089;0.785017,-0.274027;-0.0953831,0.5579535826106392,-0.18470484690276923,1.3310398080760477,suppressed,True,False,True,False
ABCA6,hydrogel,2,-0.258484;0.275019,0.681799;0.499633,0.008267617310999675,0.59071594110425,,insufficient,False,False,True,False
ABCA6,plastic,2,1.06647;-0.732432,0.064918;-1.33063,0.1670170807572946,-0.6328542264117702,,insufficient,False,False,False,False
ABCA7,hydrogel,2,0.154709;0.0181497,1.73689;0.326059,0.08642948185760035,1.0314768578469802,,insufficient,False,False,True,False
ABCA7,plastic,2,1.40252;0.940149,-0.399694;0.380489,1.1713356262018997,-0.009602430615615276,1.0081978473127737,suppressed,True,True,False,True
ABCA8,hydrogel,2,0.204969;0.106577,-0.295308;0.0259155,0.15577302610706978,-0.1346960452636896,,insufficient,False,False,False,False
ABCA8,plastic,2,-0.452052;0.745326,0.133544;0.622906,0.1466368399374851,0.3782251938716352,,insufficient,False,False,True,False
ABCA9,hydrogel,2,-1.54476;-0.186821,0.392899;-1.24024,-0.8657915547620554,-0.4236697825810247,0.51065613859278,partially_retained,True,False,False,False
ABCA9,plastic,2,-0.0280632;-2.04343,-0.209566;-0.449044,-1.035746599271255,-0.32930528684019,0.6820599873831232,partially_retained,True,False,True,False
ABCA9-AS1,hydrogel,2,0.000421319;0.047164,-0.107275;-0.142465,0.02379264094384515,-0.12486995139755946,,insufficient,False,False,True,False
ABCA9-AS1,plastic,2,0.00111631;-0.0464217,0.00013279;0.147017,-0.02265269977483675,0.0735749246112343,,insufficient,False,False,True,False
ABCB1,hydrogel,2,-0.0613135;0.0875809,0.884482;0.723527,0.013133693635280608,0.8040043851035192,,insufficient,False,False,True,False
ABCB1,plastic,2,0.0301856;0.159251,-0.130505;-0.310038,0.09471838189623494,-0.22027106893331982,,insufficient,False,False,True,False
ABCB10,hydrogel,2,0.118771;0.158132,-0.121629;0.124714,0.13845149307030002,0.001542152491150084,,insufficient,False,False,False,False
ABCB10,plastic,2,0.0301458;0.0579341,-0.0384895;-0.0866008,0.044039933549849586,-0.06254515816910011,,insufficient,False,False,True,False
ABCB10P1,hydrogel,2,0.00083049;0.00136387,0.00204529;0.00337473,0.0010971782301999466,0.0027100090698249923,,insufficient,False,False,True,False
ABCB10P1,plastic,2,0.00229127;-0.0382222,0.000275351;0.0208676,-0.017965453193065084,0.01057148323087509,,insufficient,False,False,True,False
ABCB10P3,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCB10P3,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCB10P4,hydrogel,2,0.00194181;0.00318893,0.00160588;0.00670519,0.002565371043114939,0.004155532502875148,,insufficient,False,False,True,False
ABCB10P4,plastic,2,0.00337825;-0.327789,0.000527466;0.00510648,-0.16220554988547303,0.0028169740269100574,,insufficient,False,False,True,False
ABCB11,hydrogel,2,0.00150686;0.00247463,0.00371101;0.00612317,0.0019907409536399356,0.004917091764605086,,insufficient,False,False,True,False
ABCB11,plastic,2,0.00415732;-0.204951,0.000499602;0.00396266,-0.10039673922258507,0.0022311291200949324,,insufficient,False,False,True,False
ABCB4,hydrogel,2,-0.0421162;0.961219,0.243673;0.719989,0.45955132958751,0.4818310797977001,,insufficient,False,False,True,False
ABCB4,plastic,2,0.223971;-0.435062,0.422717;0.940959,-0.10554545286705475,0.681838375920075,,insufficient,False,False,True,False
ABCB5,hydrogel,2,0.00804071;-0.172959,0.176387;0.0627943,-0.08245927976809508,0.11959079504949999,,insufficient,False,False,True,False
ABCB5,plastic,2,-0.149424;-0.339807,0.000417594;-0.590318,-0.2446156797945499,-0.294950267797765,,insufficient,False,False,False,False
ABCB6,hydrogel,2,1.09986;0.766512,-0.175401;0.0103677,0.9331851635020003,-0.08251687171924882,1.0884249717489984,suppressed,True,True,False,True
ABCB6,plastic,2,0.995862;0.860581,-0.198083;-0.365779,0.9282213430994002,-0.28193104863090035,1.3037325641419875,suppressed,True,True,True,True
ABCB7,hydrogel,2,-0.137837;-0.275134,-0.602227;-0.252579,-0.206485157961656,-0.42740269783646045,,insufficient,False,False,True,False
ABCB7,plastic,2,-0.227278;-0.13447,0.267661;0.0285017,-0.1808739852166248,0.14808143337387492,,insufficient,False,False,True,False
ABCB8,hydrogel,2,0.304423;0.202549,0.200235;-0.0264352,0.25348632191759446,0.08690009731259973,,insufficient,False,False,False,False
ABCB8,plastic,2,0.36697;0.275255,-0.00135201;-0.0594077,0.32111232716922977,-0.03037987239399964,,insufficient,False,False,True,False
ABCB9,hydrogel,2,0.567059;-0.0342567,0.0795647;0.112361,0.2664009636636395,0.09596259783593464,,insufficient,False,False,True,False
ABCB9,plastic,2,-0.0172011;0.28126,0.136178;0.363512,0.1320294428141353,0.24984532274089988,,insufficient,False,False,True,False
ABCC1,hydrogel,2,0.239974;0.303822,-0.125511;0.351805,0.27189795023600016,0.1131471604495502,,insufficient,False,False,False,False
ABCC1,plastic,2,0.44035;0.10038,0.104611;0.053684,0.2703653399199002,0.07914750331624987,,insufficient,False,False,True,False
ABCC10,hydrogel,2,0.574294;0.0865297,-0.402316;-0.00582514,0.3304118614825695,-0.20407080990668902,,insufficient,False,False,True,False
ABCC10,plastic,2,0.526593;0.396961,0.270998;-0.0265172,0.4617767994445652,0.12224057497961471,,insufficient,False,False,False,False
ABCC11,hydrogel,2,-0.0525764;0.137151,-0.281605;-0.107397,0.04228706019202,-0.1945014754571801,,insufficient,False,False,True,False
ABCC11,plastic,2,-0.172765;-0.585635,0.00463431;0.207035,-0.37920007958882485,0.1058345292907299,,insufficient,False,False,True,False
ABCC12,hydrogel,2,0.00102256;0.0580631,0.00234775;0.00425117,0.029542838646343994,0.003299460582508962,,insufficient,False,False,True,False
ABCC12,plastic,2,0.00274099;-0.584249,0.0003273;0.00280926,-0.2907541103795555,0.0015682811614675107,,insufficient,False,False,True,False
ABCC13,hydrogel,2,0.00155472;0.00251506,0.000629472;0.00620363,0.0020348939105349073,0.0034165502896850164,,insufficient,False,False,True,False
ABCC13,plastic,2,0.00252937;-0.378057,8.87975e-05;0.00534446,-0.18776403256967406,0.002716630683309962,,insufficient,False,False,True,False
ABCC2,hydrogel,2,-0.341172;-0.726633,0.465885;-0.904554,-0.53390213135402,-0.21933442857283514,0.5891860779491835,partially_retained,True,False,False,False
ABCC2,plastic,2,-0.38268;-0.35473,0.561624;-1.26614,-0.3687049552990649,-0.3522581319646847,,insufficient,False,False,False,False
ABCC3,hydrogel,2,0.430221;1.29111,0.407559;0.393374,0.8606670421367046,0.40046624516217033,0.5347024742948598,partially_retained,True,False,True,False
ABCC3,plastic,2,0.88739;1.03041,-0.135784;0.269496,0.9588982876502699,0.06685632699646504,0.9302779785327462,suppressed,True,True,False,True
ABCC4,hydrogel,2,0.721104;0.650615,0.438519;0.628652,0.6858592665886496,0.5335858425278,0.22201846862583408,fully_retained,True,True,True,True
ABCC4,plastic,2,0.712796;0.625494,0.239059;0.53172,0.6691447866676503,0.38538963647135027,0.4240564312088634,partially_retained,True,True,True,True
ABCC5,hydrogel,2,-0.353531;-0.182978,-0.274606;0.156314,-0.26825435950079957,-0.05914589809559967,,insufficient,False,False,False,False
ABCC5,plastic,2,-0.228775;-0.331328,0.0232156;-0.137223,-0.28005185276780065,-0.057003532430650594,,insufficient,False,False,False,False
ABCC5-AS1,hydrogel,2,0.000480615;0.000789287,0.00118364;0.001953,0.0006349513587300404,0.0015683176112049058,,insufficient,False,False,True,False
ABCC5-AS1,plastic,2,0.00132599;-0.000494744,0.0217843;0.0012639,0.00041562096822977956,0.011524086871165018,,insufficient,False,False,True,False
ABCC6,hydrogel,2,0.411071;1.16152,-0.235451;0.218395,0.7862966677775751,-0.00852806733499456,1.010845864779128,suppressed,True,False,False,False
ABCC6,plastic,2,0.730885;0.847346,-0.252383;-0.127293,0.7891155202321798,-0.18983802476120504,1.2405706387644604,suppressed,True,True,True,True
ABCC6P1,hydrogel,2,0.322611;-0.237406,-0.243031;-0.0614754,0.04260261655296027,-0.15225327560844537,,insufficient,False,False,True,False
ABCC6P1,plastic,2,0.657283;-0.303895,-0.900722;-1.23903,0.1766940128053549,-1.0698740797447,,insufficient,False,False,True,False
ABCC6P2,hydrogel,2,-0.836291;-0.092202,-0.403765;-0.442623,-0.4642463910509451,-0.4231938031208551,,insufficient,False,False,True,False
ABCC6P2,plastic,2,-0.424287;-0.558174,-0.306108;-0.659994,-0.49123056265561993,-0.4830505486609049,,insufficient,False,False,True,False
ABCC8,hydrogel,2,0.00115918;-0.205294,-0.0472177;-0.0493301,-0.10206719262444297,-0.04827392701057548,,insufficient,False,False,True,False
ABCC8,plastic,2,0.00308946;-0.943101,0.000368234;0.00321873,-0.4700055316637345,0.0017934807141339881,,insufficient,False,False,True,False
ABCC9,hydrogel,2,1.30234;0.921777,0.186285;-0.307311,1.1120582900374796,-0.06051304437115479,1.054415352965999,suppressed,True,True,False,True
ABCC9,plastic,2,0.200086;-0.717528,1.21858;0.0301179,-0.25872111342813486,0.6243496818011749,,insufficient,False,False,True,False
ABCD1,hydrogel,2,0.730457;-0.20292,0.232693;0.0235516,0.26376847890880484,0.12812212538454482,,insufficient,False,False,True,False
ABCD1,plastic,2,-0.301618;-0.0505733,-0.345012;-0.52476,-0.17609568840752532,-0.4348861372850501,,insufficient,False,False,True,False
ABCD1P2,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCD1P2,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCD1P3,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCD1P3,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCD1P4,hydrogel,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCD1P4,plastic,2,0;0,0;0,0.0,0.0,,insufficient,False,False,True,False
ABCD1P5,hydrogel,2,0.000274979;0.000451582,0.000677204;0.00111739,0.00036328062783996806,0.0008972961450048889,,insufficient,False,False,True,False
ABCD1P5,plastic,2,0.000758649;-0.0064693,9.117e-05;0.000723126,-0.0028553244769549124,0.00040714789437990007,,insufficient,False,False,True,False
ABCD2,hydrogel,2,0.849066;0.0660661,0.107044;-0.124193,0.45756596885308,-0.00857424505576998,,insufficient,False,False,False,False
ABCD2,plastic,2,-0.259437;-0.535226,0.00309505;0.00712031,-0.3973316702574452,0.00510767838946502,,insufficient,False,False,True,False
ABCD3,hydrogel,2,0.17021;0.0938743,0.0998818;0.0593814,0.13204220941399925,0.07963158830325057,,insufficient,False,False,True,False
ABCD3,plastic,2,0.132509;0.219486,-0.0351545;0.372372,0.17599790258724912,0.16860865018405047,,insufficient,False,False,False,False
ABCD4,hydrogel,2,0.336938;0.325936,-0.130264;-0.167521,0.33143698629605023,-0.14889259313059977,,insufficient,False,False,True,False
ABCD4,plastic,2,-0.170695;-0.268338,-0.382306;-0.263924,-0.21951665640835039,-0.3231151536628998,,insufficient,False,False,True,False
