gene,in_scvi_4000_hvg,in_old_candidate_gate_marker,in_neither_scvi_hvg_nor_gate,in_expression_matrix,expression_aliases,n_expression_aliases
SNAI2,True,False,False,True,SNAI2,1
SNCA,True,False,False,True,SNCA,1
SNCAIP,False,False,True,True,SNCAIP,1
SNHG18,False,False,True,True,SNHG18,1
SNN,False,False,True,True,SNN,1
SNTA1,False,False,True,True,SNTA1,1
SNTB2,True,False,False,True,SNTB2,1
SNX9,False,False,True,True,SNX9,1
SOD3,True,False,False,True,SOD3,1
SORBS1,True,False,False,True,SORBS1,1
SOX4,True,False,False,True,SOX4,1
SP5,False,False,True,True,SP5,1
SPARC,True,False,False,True,SPARC,1
SPARCL1,True,False,False,True,SPARCL1,1
SPATA20,False,False,True,True,SPATA20,1
SPATS2,False,False,True,True,SPATS2,1
SPECC1,False,False,True,True,SPECC1,1
SPHK1,True,False,False,True,SPHK1,1
SPON2,True,False,False,True,SPON2,1
SRD5A1,False,False,True,True,SRD5A1,1
SSBP2,True,False,False,True,SSBP2,1
SSPN,False,False,True,True,SSPN,1
ST3GAL4,False,False,True,True,ST3GAL4,1
ST5,False,False,True,True,ST5,1
STK38L,False,False,True,True,STK38L,1
STON1,False,False,True,True,STON1,1
STXBP5L,False,False,True,True,STXBP5L,1
STXBP6,True,False,False,True,STXBP6,1
SULF2,True,False,False,True,SULF2,1
SYNE2,True,False,False,True,SYNE2,1
SYNGR1,False,False,True,True,SYNGR1,1
SYNJ2,False,False,True,True,SYNJ2,1
SYNM,False,False,True,True,SYNM,1
SYNPO2,True,False,False,True,SYNPO2,1
SYT1,False,False,True,True,SYT1,1
SYTL4,False,False,True,True,SYTL4,1
TAF6,False,False,True,True,TAF6,1
TAGLN,True,False,False,True,TAGLN,1
TANC1,True,False,False,True,TANC1,1
TBC1D1,False,False,True,True,TBC1D1,1
TBL1X,False,False,True,True,TBL1X,1
TBX2,False,False,True,True,TBX2,1
TCEA2,False,False,True,True,TCEA2,1
TCEAL1,False,False,True,True,TCEAL1,1
TCEAL3,False,False,True,True,TCEAL3,1
TCEAL7,False,False,True,True,TCEAL7,1
TCF12,False,False,True,True,TCF12,1
TCF21,True,False,False,True,TCF21,1
TCF4,True,False,False,True,TCF4,1
TEAD2,False,False,True,True,TEAD2,1
TEAD3,False,False,True,True,TEAD3,1
TECPR2,False,False,True,True,TECPR2,1
TENC1,False,False,True,False,,0
TES,False,False,True,True,TES,1
TGFB1I1,False,False,True,True,TGFB1I1,1
TGFBR3,False,False,True,True,TGFBR3,1
THAP8,False,False,True,True,THAP8,1
THBS2,True,False,False,True,THBS2,1
THOC5,False,False,True,True,THOC5,1
THRA,False,False,True,True,THRA,1
THSD4,True,False,False,True,THSD4,1
TIMP3,True,False,False,True,TIMP3,1
TMCC1,False,False,True,True,TMCC1,1
TMEM106C,False,False,True,True,TMEM106C,1
TMEM135,False,False,True,True,TMEM135,1
TMEM158,False,False,True,True,TMEM158,1
TMEM159,False,False,True,True,TMEM159,1
TMEM161A,False,False,True,True,TMEM161A,1
TMEM176A,True,False,False,True,TMEM176A,1
TMEM200B,False,False,True,True,TMEM200B,1
TMEM237,False,False,True,True,TMEM237,1
TMEM47,False,False,True,True,TMEM47,1
TMEM5,False,False,True,False,,0
TMEM55A,False,False,True,False,,0
TMEM9,False,False,True,True,TMEM9,1
TMEM98,False,False,True,True,TMEM98,1
TMOD1,True,False,False,True,TMOD1,1
TMSB15A,True,False,False,True,TMSB15A,1
TNFAIP8L3,False,False,True,True,TNFAIP8L3,1
TP53INP2,False,False,True,True,TP53INP2,1
TPD52L1,False,False,True,True,TPD52L1,1
TPM1,True,False,False,True,TPM1,1
TPM2,True,False,False,True,TPM2,1
TPST1,False,False,True,True,TPST1,1
TRIM47,False,False,True,True,TRIM47,1
TRIM63,True,False,False,True,TRIM63,1
TRMT11,False,False,True,True,TRMT11,1
TSHZ2,True,False,False,True,TSHZ2,1
TSHZ3,True,False,False,True,TSHZ3,1
TSLP,False,False,True,True,TSLP,1
TSPAN2,False,False,True,True,TSPAN2,1
TSPAN6,True,False,False,True,TSPAN6,1
TSPAN9,False,False,True,True,TSPAN9,1
TSPYL2,False,False,True,True,TSPYL2,1
TSPYL5,False,False,True,True,TSPYL5,1
TTC7B,False,False,True,True,TTC7B,1
TTLL7,False,False,True,True,TTLL7,1
TUBB2A,False,False,True,True,TUBB2A,1
TULP3,False,False,True,True,TULP3,1
TUSC1,False,False,True,True,TUSC1,1
TUSC3,True,False,False,True,TUSC3,1
TWIST1,False,False,True,True,TWIST1,1
TWISTNB,False,False,True,True,TWISTNB,1
TXNDC16,False,False,True,True,TXNDC16,1
UCHL1,True,False,False,True,UCHL1,1
UNC5D,False,False,True,True,UNC5D,1
USP31,False,False,True,True,USP31,1
USP53,False,False,True,True,USP53,1
VCL,True,False,False,True,VCL,1
VEGFD,True,True,False,True,VEGFD,1
VGLL2,False,False,True,True,VGLL2,1
VGLL4,False,False,True,True,VGLL4,1
WASF1,False,False,True,True,WASF1,1
WDR75,False,False,True,True,WDR75,1
WFDC1,True,False,False,True,WFDC1,1
WFS1,True,False,False,True,WFS1,1
WHAMM,False,False,True,True,WHAMM,1
WLS,False,False,True,True,WLS,1
YPEL2,False,False,True,True,YPEL2,1
Z83851.1,False,False,True,False,,0
ZBTB20,True,False,False,True,ZBTB20,1
ZBTB47,False,False,True,True,ZBTB47,1
ZCCHC24,False,False,True,True,ZCCHC24,1
ZDHHC14,True,False,False,True,ZDHHC14,1
ZFYVE21,False,False,True,True,ZFYVE21,1
ZKSCAN1,False,False,True,True,ZKSCAN1,1
ZMAT3,False,False,True,True,ZMAT3,1
ZNF462,False,False,True,True,ZNF462,1
ZNF544,False,False,True,True,ZNF544,1
ZNF626,False,False,True,True,ZNF626,1
ZNF667-AS1,False,False,True,True,ZNF667-AS1,1
ZNF771,False,False,True,True,ZNF771,1
ZNF814,False,False,True,True,ZNF814,1
ZRANB1,False,False,True,True,ZRANB1,1
ZSCAN18,False,False,True,True,ZSCAN18,1
